"lon","lat"
-2.603535,36.836446
-2.603532,36.836473
0.760903,40.743688
-2.603437,36.836497
-2.60346,36.836485
0.760909,40.743697
-2.603678,36.830237
-2.603678,36.83022
-2.603607,36.830075
-2.60374,36.830136
-2.603573,36.830065
-2.292265,36.826978
-2.292328,36.82705
-2.603525,36.83642
-2.710337,36.686941
-2.719803,36.822222
-2.719817,36.82217
-2.719843,36.822142
-2.704255,36.69184
-2.704423,36.692247
-9.14501,38.57718
-9.236458,38.666271
-3.082153,36.754165
-3.110768,36.781855
-2.603553,36.836452
-2.292373,36.82707
-2.528172,36.828497
-2.704512,36.69198
-3.082145,36.75417
-2.291092,36.826402
-3.06803,36.761567
-2.604562,36.830157
-9.236469,38.666276
-2.704438,36.691962
-7.713932,37.086585
-7.713972,37.086595
-7.713883,37.086753
-7.714455,37.086393
-9.236461,38.666274
-0.810409,41.727274
-9.236471,38.666282
-7.714125,37.086552
-2.60355,36.8364
-3.76951,40.339683
-5.330633,40.172557
-2.60357,36.836473
-7.486459,38.379427
-7.470462,38.364302
-9.236414,38.666265
-2.603762,36.836157
-2.60379,36.836257
-2.604492,36.830155
-7.470457,38.364298
-5.395847,37.524638
0.06436,42.069335
-2.62122,36.850373
0.064353,42.069336
0.064353,42.069336
0.064353,42.069336
-9.236458,38.666265
3.069647,39.645441
-9.237948,38.666229
-9.237948,38.666229
-2.671708,36.696008
0.064354,42.06935
-2.597975,36.823445
-5.88037,39.459537
-2.604447,36.830142
-2.742463,36.690308
-2.604401,36.830138
-2.256512,36.821948
-8.457235,37.179967
-9.23644,38.666277
-9.237948,38.666229
-9.237948,38.666229
-9.237948,38.666229
-4.553176,37.017592
-2.621292,36.850595
-5.166321,36.739002
0.064373,42.069375
-4.383986,36.738231
-9.236462,38.666252
-9.237948,38.666229
-9.237948,38.666229
-7.88602,41.29642
-5.345564,36.120822
-8.457235,37.179967
-9.236472,38.666271
-9.24,38.67
-9.23644,38.666261
-9.237948,38.666229
-9.237948,38.666229
-7.714127,37.086378
-7.71312,37.08653
-1.14,38.56
-2.719787,36.822302
-2.429572,36.825674
-2.60445,36.83024
-2.420488,37.018032
-3.51692,36.745063
-2.71982,36.822343
-2.859942,36.83664
-2.859932,36.836618
-2.710322,36.686897
-9.03054,38.481351
-9.03079,38.48117
-3.110543,36.781607
-3.11062,36.78182
-9.23795,38.66623
-9.23795,38.66623
-9.14464,38.57749
-9.144858,38.577466
-8.391451,43.314464
-9.236589,38.666288
-8.77148,41.5051
-2.604423,36.830135
-2.59092,36.831986
-8.542966,40.238594
-8.827423,42.562759
-9.236408,38.666307
-2.789125,37.003362
-2.658512,36.807977
-2.789088,37.003338
-2.789043,37.003402
0.064754,42.069434
-2.256501,36.821851
-2.704458,36.691982
1.513716,38.95471
3.146649,39.765303
-2.704527,36.691989
-1.14,38.56
-2.527804,36.827756
-2.527781,36.827783
-0.67,37.99
-3.543665,36.724129
-3.543568,36.72412
-3.630734,37.190912
-7.815936,37.033119
-7.822671,37.033611
-3.543681,36.724086
-2.600659,36.808108
-3.10032,36.790116
-2.600779,36.808123
-3.100319,36.790111
-2.429863,36.819903
3.031002,43.097376
-7.813049,37.034398
-2.429644,36.825637
-2.429435,36.825692
-2.593182,36.792783
-0.585919,38.949858
-2.719922,36.822338
-8.457521,37.179997
0.064743,42.06945
-2.603557,36.830087
-2.704569,36.691999
-2.603557,36.830087
-2.704538,36.692
3.755127,43.455036
-8.806,38.814
-2.604695,36.83031
-3.08213,36.754074
-3.082014,36.753872
-2.604453,36.830158
-3.520765,36.745089
-2.600797,36.808159
-2.600791,36.808158
3.755127,43.455036
-2.590346,36.831827
-0.575387,38.948563
-2.590512,36.83184
-3.630766,37.190924
-3.630773,37.190867
-3.630745,37.190888
-3.630784,37.19094
-3.630735,37.19091
-3.630757,37.190908
-2.704525,36.691986
-2.590939,36.832006
-2.604448,36.830158
-2.604448,36.830158
-3.098266,36.78406
-2.600793,36.808171
-2.600793,36.808171
-2.709851,36.685169
-2.592942,36.833585
-2.592942,36.833585
-2.593071,36.833177
-2.593052,36.833169
-2.604455,36.830159
3.031002,43.097376
-3.593361,36.765488
-2.953728,36.748994
-2.399297,36.832311
-2.953794,36.748941
-2.953784,36.748933
-2.953767,36.748985
-2.399297,36.832311
-3.543717,36.724044
-2.143094,36.802029
-5.567618,36.231335
3.755127,43.455036
-8.87112,40.00211
3.755127,43.455036
-5.876728,39.458293
-5.876728,39.458293
-7.44428,37.23431
-7.9646,37.1048
-7.66297,37.61553
-8.00832,37.20432
-7.89565,37.20333
-8.90986,37.19041
-3.110249,36.78169
-3.55,36.72
-3.544414,36.723595
-3.543692,36.722547
-2.953753,36.748993
-2.953753,36.748993
-3.544031,36.723535
-3.330908,36.932192
-3.518036,36.748975
-3.518036,36.748975
-2.719784,36.82229
-3.543634,36.723733
-2.719835,36.822304
-3.330908,36.932192
-3.330908,36.932192
-3.330908,36.932192
3.755127,43.455036
-8.723784,42.018937
-0.584819,38.962288
-8.72382,42.01891
3.755127,43.455036
-0.575151,38.948462
-2.953831,36.748942
-3.573266,37.108894
-3.330908,36.932192
-3.32608,36.935739
-3.54478,36.72469
-3.55,36.72
-3.55,36.72
-3.55,36.72
-3.55,36.72
-3.330908,36.932192
3.10795,42.51573
-0.346009,39.543472
1.559533,41.271214
-0.346009,39.543472
-3.330908,36.932192
-0.346009,39.543472
-0.346009,39.543472
-3.330908,36.932192
-3.330908,36.932192
-0.67,37.98
-6.441,36.987
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978836,43.661554
-0.808868,41.716466
-0.808868,41.716274
-0.808954,41.716402
-0.57543,38.948696
3.978836,43.661554
-9,39.81297
-8.9989,39.819
3.978836,43.661554
3.978836,43.661554
-8.9989,39.819
3.978824,43.661585
-3.110391,36.781611
-1.043701,37.927734
-0.575602,38.948446
-0.575602,38.948446
3.978824,43.661585
-8.83565,40.13721
-8.74909,41.31719
-8.73714,41.31716
-8.65115,41.7583
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-1.043615,37.927624
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-1.126528,37.945226
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-1.043789,37.927534
-1.043789,37.927534
-0.575552,38.948603
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-8.74766,41.68649
-1.043103,37.927161
-1.065809,38.097598
-1.585753,37.405325
-1.5857,37.40533
-0.575594,38.948537
-0.575594,38.948537
-3.516718,36.744669
3.978824,43.661585
3.99306,43.665192
-7.39994,41.27932
-7.39994,41.27932
-3.110362,36.781529
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-0.575709,38.948563
3.978824,43.661585
3.978824,43.661585
-7.98639,37.15907
-7.94147,37.14966
-7.98639,37.15907
-7.94147,37.14966
-8.90986,37.19041
-7.94147,37.14966
-8.90986,37.19041
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-0.347371,39.542188
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
